SAPT_Induction,MD_Induction,DimerID
-2.436731560000000130e+00,-1.346576296733816180e+00,1.000000000000000000e+01
-2.356660000000000005e-03,-1.952079982395706894e-03,1.020000000000000000e+02
-1.026079999999999961e-03,-7.805462652004083093e-04,1.030000000000000000e+02
-1.584679999999999986e-03,-1.264065171972492000e-03,1.040000000000000000e+02
-1.076130000000000012e-03,-8.303216437733807083e-04,1.050000000000000000e+02
-1.221489999999999989e-03,-1.015499914077021976e-03,1.060000000000000000e+02
-2.391229999999999831e-03,-1.955427318271489058e-03,1.070000000000000000e+02
-7.635100000000000133e-04,-6.646106753206198949e-04,1.090000000000000000e+02
-1.142750000000000103e-03,-1.113378212668422306e-03,1.100000000000000000e+02
-2.433840000000000049e-03,-2.104190226411039796e-03,1.110000000000000000e+02
-2.385739999999999909e-03,-2.029688325268223358e-03,1.120000000000000000e+02
-4.804899999999999970e-03,-3.957598395309694372e-03,1.130000000000000000e+02
-1.480729999999999980e-03,-1.236677452478606712e-03,1.140000000000000000e+02
-1.315742999999999947e-02,-1.223025338956038564e-02,1.160000000000000000e+02
-1.220069999999999965e-03,-1.077241882215397356e-03,1.180000000000000000e+02
-1.768349999999999913e-03,-1.491803494332980245e-03,1.190000000000000000e+02
-2.165173999999999918e-02,-1.763000919220700236e-02,1.200000000000000000e+01
-1.799349999999999908e-03,-1.453314886126507496e-03,1.220000000000000000e+02
-1.889889999999999973e-03,-1.513213494383226646e-03,1.230000000000000000e+02
-1.376810000000000013e-03,-1.180176407118682961e-03,1.240000000000000000e+02
-6.685900000000000480e-04,-5.935147175801863077e-04,1.260000000000000000e+02
-6.741453999999999502e-02,-5.104944731609193515e-02,1.300000000000000000e+01
-1.244749999999999980e-03,-9.953816574477328000e-04,1.300000000000000000e+02
-6.474799999999999740e-04,-5.123427082582342282e-04,1.310000000000000000e+02
-1.127839999999999962e-03,-9.312684430707161452e-04,1.320000000000000000e+02
-6.319299999999999484e-04,-5.313482114866060688e-04,1.330000000000000000e+02
-1.142900000000000079e-03,-9.486186027538626945e-04,1.340000000000000000e+02
-1.052299999999999937e-03,-9.690086063605855924e-04,1.350000000000000000e+02
-1.404330000000000075e-03,-1.271519398512399113e-03,1.360000000000000000e+02
-4.529899999999999899e-03,-3.917986888536964529e-03,1.370000000000000000e+02
-8.241200000000000175e-04,-7.675381212879223147e-04,1.380000000000000000e+02
-1.213410000000000053e-03,-1.113903190767604693e-03,1.390000000000000000e+02
-3.221269889999999858e+00,-1.419705308579406910e+00,1.400000000000000000e+01
-1.705259999999999892e-03,-1.561879797998738661e-03,1.400000000000000000e+02
-4.682600000000000195e-04,-4.136301831097804940e-04,1.410000000000000000e+02
-8.649800000000000023e-04,-7.775147760013231867e-04,1.440000000000000000e+02
-1.077080000000000008e-03,-9.305691919579196260e-04,1.450000000000000000e+02
-1.634899999999999895e-03,-1.452424236680686671e-03,1.460000000000000000e+02
-1.612240000000000027e-03,-1.471595828270831066e-03,1.470000000000000000e+02
-4.718899999999999831e-04,-3.964126682312325129e-04,1.490000000000000000e+02
-1.562690000000000043e-03,-1.362328783356114240e-03,1.520000000000000000e+02
-2.639310000000000180e-03,-2.370502760808901148e-03,1.530000000000000000e+02
-3.208099999999999862e-04,-2.734305043661917857e-04,1.540000000000000000e+02
-1.243610000000000028e-03,-1.372847774465325160e-03,1.550000000000000000e+02
-8.134299999999999690e-04,-7.132494380222658120e-04,1.560000000000000000e+02
-8.525499999999999875e-04,-7.456258963638460807e-04,1.570000000000000000e+02
-7.442100000000000321e-04,-7.216027703378807313e-04,1.580000000000000000e+02
-1.486556420000000101e+00,-8.653690452425064628e-01,1.600000000000000000e+01
-6.293400000000000426e-04,-5.205977722611404828e-04,1.600000000000000000e+02
-7.391900000000000293e-04,-6.841673226710278744e-04,1.630000000000000000e+02
-5.866699999999999649e-04,-5.125442582023214799e-04,1.640000000000000000e+02
-4.831999999999999815e-04,-4.606748051200026776e-04,1.650000000000000000e+02
-8.092499999999999650e-04,-6.722228832294166760e-04,1.660000000000000000e+02
-5.984999999999999652e-04,-5.000310548526432173e-04,1.670000000000000000e+02
-6.128600000000000107e-04,-5.899345064811441003e-04,1.680000000000000000e+02
-9.759299999999999616e-04,-8.988273948714385446e-04,1.690000000000000000e+02
-1.018529999999999913e-03,-8.061914547415316955e-04,1.720000000000000000e+02
-8.855399999999999817e-04,-7.443172329788104880e-04,1.730000000000000000e+02
-5.563599999999999926e-04,-5.272902752693262420e-04,1.740000000000000000e+02
-3.643799999999999773e-04,-2.999889894317443826e-04,1.770000000000000000e+02
-4.567899999999999955e-04,-3.919868325343029282e-04,1.780000000000000000e+02
-9.517700000000000032e-04,-8.181431549694569887e-04,1.790000000000000000e+02
-1.550050000000000082e-03,-1.342820762640328054e-03,1.810000000000000000e+02
-5.862290000000000036e-03,-5.553929419006514365e-03,1.820000000000000000e+02
-5.402700000000000297e-04,-5.476673410998917670e-04,1.830000000000000000e+02
-2.972800000000000269e-04,-2.586066369869249957e-04,1.840000000000000000e+02
-1.524909999999999981e-03,-1.496206336224168440e-03,1.850000000000000000e+02
-3.353399999999999979e-04,-2.727314546833482247e-04,1.860000000000000000e+02
-8.837781999999999583e-02,-6.884381417158563776e-02,1.900000000000000000e+01
-7.571299999999999558e-04,-6.906687692669807041e-04,1.900000000000000000e+02
-2.551100000000000156e-04,-2.376986825458707884e-04,1.910000000000000000e+02
-5.825199999999999996e-04,-4.858994308601521125e-04,1.920000000000000000e+02
-3.501900000000000065e-04,-2.891635273330005586e-04,1.930000000000000000e+02
-2.109400000000000099e-04,-2.040144131483530689e-04,1.940000000000000000e+02
-5.718099999999999615e-04,-4.812025208129658521e-04,1.980000000000000000e+02
